"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 12 11:52:51 UTC 2026","Sat Sep 12 11:52:53 UTC 2026","2518","Mobile Safari","drag-drop-dropdown.spec.ts","Drag and Drop Interaction - Regression Test","","","drags Box A into Box B successfully",""
"passed","Sat Sep 12 11:52:12 UTC 2026","Sat Sep 12 11:52:13 UTC 2026","493","Desktop Safari","context-menu.spec.ts","Context Menu Interaction - Regression Test","","","displays an alert after right-clicking the context menu box",""
"passed","Sat Sep 12 11:53:08 UTC 2026","Sat Sep 12 11:53:11 UTC 2026","2069","Mobile Safari","hover-and-slider.spec.ts","Slider Movement Interaction - Regression Suite","","","moves the slider to position 2.5",""
"passed","Sat Sep 12 11:51:03 UTC 2026","Sat Sep 12 11:51:03 UTC 2026","476","Desktop Firefox","close-modal-and-floating-menu-presence.spec.ts","Floating Menu Behavior - Regression Tests","","","reveals floating menu after scrolling down the page",""
"passed","Sat Sep 12 11:52:40 UTC 2026","Sat Sep 12 11:52:42 UTC 2026","2180","Mobile Safari","check-and-uncheck.spec.ts","Checkbox Interaction - Regression Tests","","","checks a single checkbox successfully",""
"passed","Sat Sep 12 11:52:36 UTC 2026","Sat Sep 12 11:52:40 UTC 2026","3338","Mobile Safari","add-and-remove-element.spec.ts","Element Handling - Regression Tests","","","should allow user to add and delete multiple items",""
"passed","Sat Sep 12 11:51:05 UTC 2026","Sat Sep 12 11:51:06 UTC 2026","658","Desktop Firefox","handle-alert.spec.ts","JavaScript Alert Handling - Regression Suite","","","handles a JS alert popup with OK button",""
"passed","Sat Sep 12 11:51:24 UTC 2026","Sat Sep 12 11:51:25 UTC 2026","1221","Mobile Chrome","close-modal-and-floating-menu-presence.spec.ts","Floating Menu Behavior - Regression Tests","","","reveals floating menu after scrolling down the page",""
"passed","Sat Sep 12 11:51:37 UTC 2026","Sat Sep 12 11:51:39 UTC 2026","1227","Mobile Chrome","hover-and-slider.spec.ts","Slider Movement Interaction - Regression Suite","","","moves the slider to position 2.5",""
"passed","Sat Sep 12 11:51:25 UTC 2026","Sat Sep 12 11:51:26 UTC 2026","1231","Mobile Chrome","context-menu.spec.ts","Context Menu Interaction - Regression Test","","","displays an alert after right-clicking the context menu box",""
"passed","Sat Sep 12 11:52:35 UTC 2026","Sat Sep 12 11:52:35 UTC 2026","473","Desktop Edge","check-and-uncheck.spec.ts","Checkbox Interaction - Regression Tests","","","checks a single checkbox successfully",""
"passed","Sat Sep 12 11:52:14 UTC 2026","Sat Sep 12 11:52:14 UTC 2026","480","Desktop Safari","drag-drop-dropdown.spec.ts","Dropdown Selection - Regression Test","","","selects options 1 and 2 from dropdown menu",""
"passed","Sat Sep 12 11:53:11 UTC 2026","Sat Sep 12 11:53:13 UTC 2026","2587","Mobile Safari","login-with-valid-and-invalid-credentials.spec.ts","Basic Authentication - Regression Test","","","logs in successfully with valid credentials",""
"passed","Sat Sep 12 11:52:12 UTC 2026","Sat Sep 12 11:52:12 UTC 2026","495","Desktop Safari","close-modal-and-floating-menu-presence.spec.ts","Floating Menu Behavior - Regression Tests","","","reveals floating menu after scrolling down the page",""
"passed","Sat Sep 12 11:52:08 UTC 2026","Sat Sep 12 11:52:09 UTC 2026","1831","Desktop Safari","add-and-remove-element.spec.ts","Element Handling - Regression Tests","","","should allow user to add and delete multiple items",""
"passed","Sat Sep 12 11:52:53 UTC 2026","Sat Sep 12 11:52:55 UTC 2026","1921","Mobile Safari","drag-drop-dropdown.spec.ts","Dropdown Selection - Regression Test","","","selects options 1 and 2 from dropdown menu",""
"passed","Sat Sep 12 11:52:18 UTC 2026","Sat Sep 12 11:52:19 UTC 2026","452","Desktop Safari","login-with-valid-and-invalid-credentials.spec.ts","Basic Authentication - Regression Test","","","logs in successfully with valid credentials",""
"passed","Sat Sep 12 11:51:08 UTC 2026","Sat Sep 12 11:51:09 UTC 2026","659","Desktop Chrome","drag-drop-dropdown.spec.ts","Drag and Drop Interaction - Regression Test","","","drags Box A into Box B successfully",""
"passed","Sat Sep 12 11:52:33 UTC 2026","Sat Sep 12 11:52:35 UTC 2026","1907","Desktop Edge","add-and-remove-element.spec.ts","Element Handling - Regression Tests","","","should allow user to add and delete multiple items",""
